DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.593732	59	3	2	7	6	1	1	0	1140	3	0	4.05573 	0	0
DL	0.593875	59	3	3	1	6	1	1	0	868	2	0	3.99003	0	0
UL	0.593982	59	3	3	7	6	1	1	0	1140	3	0	3.88342 	0	0
DL	0.594125	59	4	0	1	6	1	1	0	1373	4	0	3.8474	1	0.0315472
UL	0.594232	59	4	0	7	6	1	1	0	1140	3	0	4.03805 	0	0
DL	0.594375	59	4	1	1	6	1	1	0	1373	4	0	4.09751	0	0
UL	0.594482	59	4	1	7	6	1	1	0	1373	4	0	3.87395 	0	0.0315472
DL	0.594625	59	4	2	1	6	1	1	0	1373	4	0	3.94214	0	0.0315472
UL	0.594732	59	4	2	7	6	1	1	0	1140	3	0	4.10648 	0	0
DL	0.594875	59	4	3	1	6	1	1	0	1373	4	1	4.11369	0	0.0315472
DL	0.594982	59	4	3	7	6	1	1	0	1373	4	2	3.89805	0	0.0315472
DL	0.595125	59	5	0	1	6	1	1	0	1373	4	0	3.87141	0	0.0315472
UL	0.595232	59	5	0	7	6	1	1	0	1140	3	0	3.86034 	0	0
DL	0.595375	59	5	1	1	6	1	1	0	868	2	0	3.67599	0	0
UL	0.595482	59	5	1	7	6	1	1	0	1373	4	0	3.49291 	0	0.250467
DL	0.595625	59	5	2	1	6	1	1	0	868	2	0	3.24863	0	0
UL	0.595732	59	5	2	7	6	1	1	0	1373	4	0	3.09549 	1	0.999705
DL	0.595875	59	5	3	1	6	1	1	0	868	2	0	2.92792	0	0
UL	0.595982	59	5	3	7	6	1	1	0	1140	3	0	2.88439 	0	0.0734258
DL	0.596125	59	6	0	1	6	1	1	0	868	2	0	2.89499	0	0
UL	0.596232	59	6	0	7	6	1	1	0	1140	3	0	2.88507 	0	0.0734258
DL	0.596339	59	6	1	1	4	1	1	0	578	2	0	2.60934	0	0
UL	0.596446	59	6	1	5	6	1	1	0	1373	4	1	2.39808 	0	0
DL	0.596625	59	6	2	1	6	1	1	0	868	2	0	2.50892	0	0.00019999
UL	0.596732	59	6	2	7	6	1	1	0	868	2	0	2.51499 	0	0
DL	0.596875	59	6	3	1	6	1	1	0	868	2	0	2.39403	0	0.00019999
UL	0.596982	59	6	3	7	6	1	1	0	868	2	0	2.21905 	0	0.00019999
DL	0.597125	59	7	0	1	6	1	1	0	868	2	0	2.24136	0	0.00019999
UL	0.597232	59	7	0	7	6	1	1	0	868	2	0	2.22805 	0	0.00019999
DL	0.597375	59	7	1	1	6	1	1	0	868	2	0	2.12028	0	0.00019999
UL	0.597482	59	7	1	7	6	1	1	0	868	2	0	2.11296 	0	0.00019999
DL	0.597625	59	7	2	1	6	1	1	0	868	2	0	2.06663	0	0.00019999
UL	0.597732	59	7	2	7	6	1	1	0	868	2	0	2.04437 	0	0.00019999
DL	0.597875	59	7	3	1	6	1	1	0	868	2	0	1.97214	0	0.00019999
UL	0.597982	59	7	3	7	6	1	1	0	868	2	0	2.05311 	0	0.00019999
DL	0.598125	59	8	0	1	6	1	1	0	868	2	0	2.11092	0	0.00019999
UL	0.598232	59	8	0	7	6	1	1	0	868	2	0	2.25349 	0	0.00019999
DL	0.598375	59	8	1	1	6	1	1	0	868	2	0	2.1962	0	0.00019999
